LIBRARY_ID,ANCHOR_ID,COSMIC_ID,Label,Endpoint,CELL_LINE_NAME,tissue
44224160,46930998,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
44224160,51001932,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
84691,11152667,683667,2,Bliss,PFSK-1,Central Nervous System
10184653,11707110,683667,1,SA-L,PFSK-1,Central Nervous System
10184653,51001932,683667,2,Bliss,PFSK-1,Central Nervous System
11433190,24856436,683667,2,Bliss,PFSK-1,Central Nervous System
46930998,11707110,683667,1,SA-L,PFSK-1,Central Nervous System
46930998,208908,683667,1,SA-L,PFSK-1,Central Nervous System
46930998,51001932,683667,1,SA-L,PFSK-1,Central Nervous System
5330286,11707110,683667,0,sub-HSA,PFSK-1,Central Nervous System
5330286,208908,683667,0,sub-HSA,PFSK-1,Central Nervous System
5330286,51001932,683667,2,Bliss,PFSK-1,Central Nervous System
3385,11152667,683667,2,Bliss,PFSK-1,Central Nervous System
24856436,23725625,683667,1,SA-L,PFSK-1,Central Nervous System
24856436,11152667,683667,3,Synergy,PFSK-1,Central Nervous System
11707110,644241,683667,1,SA-L,PFSK-1,Central Nervous System
11707110,208908,683667,2,Bliss,PFSK-1,Central Nervous System
11707110,51001932,683667,3,Synergy,PFSK-1,Central Nervous System
44462760,208908,683667,2,Bliss,PFSK-1,Central Nervous System
5394,23725625,683667,2,Bliss,PFSK-1,Central Nervous System
5394,24856436,683667,2,Bliss,PFSK-1,Central Nervous System
11640390,11707110,683667,1,IDA,PFSK-1,Central Nervous System
11640390,208908,683667,1,SA-L,PFSK-1,Central Nervous System
11640390,51001932,683667,1,IDA,PFSK-1,Central Nervous System
51001932,11707110,683667,1,SA-L,PFSK-1,Central Nervous System
51001932,208908,683667,1,SA-L,PFSK-1,Central Nervous System
24866313,11707110,683667,1,IDA,PFSK-1,Central Nervous System
46926973,11707110,683667,1,IDA,PFSK-1,Central Nervous System
46926973,208908,683667,2,Bliss,PFSK-1,Central Nervous System
46926973,51001932,683667,2,Bliss,PFSK-1,Central Nervous System
84691,11152667,684052,1,IDA,A673,Bone
84691,24856436,684052,2,Bliss,A673,Bone
148124,24978538,684052,2,Bliss,A673,Bone
24978538,11707110,684052,2,Bliss,A673,Bone
24978538,208908,684052,1,IDA,A673,Bone
24978538,51001932,684052,3,Synergy,A673,Bone
23725625,11707110,684052,0,sub-HSA,A673,Bone
23725625,51001932,684052,2,Bliss,A673,Bone
6450551,24978538,684052,2,Bliss,A673,Bone
10184653,24978538,684052,2,Bliss,A673,Bone
10184653,11707110,684052,1,SA-L,A673,Bone
10184653,51001932,684052,1,SA-L,A673,Bone
11433190,24856436,684052,3,Synergy,A673,Bone
1401,208908,684052,1,SA-L,A673,Bone
46930998,11707110,684052,2,Bliss,A673,Bone
46930998,208908,684052,3,Synergy,A673,Bone
46930998,51001932,684052,2,Bliss,A673,Bone
5330286,11707110,684052,2,Bliss,A673,Bone
5330286,208908,684052,1,SA-L,A673,Bone
5330286,51001932,684052,2,Bliss,A673,Bone
17755052,24856436,684052,2,Bliss,A673,Bone
17755052,11707110,684052,1,SA-L,A673,Bone
17755052,208908,684052,0,sub-HSA,A673,Bone
3385,11152667,684052,1,IDA,A673,Bone
11626560,208908,684052,1,SA-L,A673,Bone
5310940,24978538,684052,3,Synergy,A673,Bone
24856436,23725625,684052,1,SA-L,A673,Bone
24856436,11152667,684052,1,SA-L,A673,Bone
60750,11152667,684052,1,SA-L,A673,Bone
60750,24856436,684052,1,IDA,A673,Bone
11707110,24978538,684052,2,Bliss,A673,Bone
11707110,644241,684052,0,sub-HSA,A673,Bone
11707110,208908,684052,1,SA-L,A673,Bone
11707110,51001932,684052,3,Synergy,A673,Bone
44462760,208908,684052,1,SA-L,A673,Bone
5394,23725625,684052,3,Synergy,A673,Bone
5394,24856436,684052,2,Bliss,A673,Bone
104842,24978538,684052,1,IDA,A673,Bone
11640390,11707110,684052,2,Bliss,A673,Bone
11640390,208908,684052,1,SA-L,A673,Bone
11640390,51001932,684052,1,IDA,A673,Bone
11488320,51001932,684052,2,Bliss,A673,Bone
51001932,24978538,684052,3,Synergy,A673,Bone
51001932,11707110,684052,1,SA-L,A673,Bone
51001932,208908,684052,1,SA-L,A673,Bone
24866313,11707110,684052,1,IDA,A673,Bone
44224160,46930998,684052,1,SA-L,A673,Bone
44224160,51001932,684052,2,Bliss,A673,Bone
46926973,11707110,684052,1,IDA,A673,Bone
46926973,208908,684052,1,IDA,A673,Bone
46926973,51001932,684052,2,Bliss,A673,Bone
84691,11152667,684059,2,Bliss,ES7,Bone
84691,24856436,684059,1,IDA,ES7,Bone
148124,24978538,684059,2,Bliss,ES7,Bone
24978538,11707110,684059,1,IDA,ES7,Bone
24978538,208908,684059,3,Synergy,ES7,Bone
24978538,51001932,684059,2,Bliss,ES7,Bone
23725625,11707110,684059,1,SA-L,ES7,Bone
23725625,51001932,684059,1,IDA,ES7,Bone
6450551,24978538,684059,2,Bliss,ES7,Bone
10184653,24978538,684059,2,Bliss,ES7,Bone
10184653,11707110,684059,1,SA-L,ES7,Bone
10184653,51001932,684059,2,Bliss,ES7,Bone
11433190,24856436,684059,2,Bliss,ES7,Bone
1401,208908,684059,2,Bliss,ES7,Bone
46930998,11707110,684059,1,SA-L,ES7,Bone
46930998,208908,684059,2,Bliss,ES7,Bone
46930998,51001932,684059,1,SA-L,ES7,Bone
5330286,11707110,684059,0,sub-HSA,ES7,Bone
5330286,208908,684059,2,Bliss,ES7,Bone
5330286,51001932,684059,1,IDA,ES7,Bone
17755052,24856436,684059,2,Bliss,ES7,Bone
17755052,11707110,684059,1,SA-L,ES7,Bone
17755052,208908,684059,1,SA-L,ES7,Bone
3385,11152667,684059,2,Bliss,ES7,Bone
11626560,208908,684059,1,SA-L,ES7,Bone
5310940,24978538,684059,2,Bliss,ES7,Bone
24856436,23725625,684059,2,Bliss,ES7,Bone
24856436,11152667,684059,2,Bliss,ES7,Bone
60750,11152667,684059,1,SA-L,ES7,Bone
60750,24856436,684059,1,IDA,ES7,Bone
11707110,24978538,684059,2,Bliss,ES7,Bone
11707110,644241,684059,2,Bliss,ES7,Bone
11707110,208908,684059,2,Bliss,ES7,Bone
11707110,51001932,684059,2,Bliss,ES7,Bone
44462760,208908,684059,1,SA-L,ES7,Bone
5394,23725625,684059,3,Synergy,ES7,Bone
5394,24856436,684059,1,SA-A,ES7,Bone
104842,24978538,684059,1,IDA,ES7,Bone
11640390,11707110,684059,1,SA-L,ES7,Bone
11640390,208908,684059,2,Bliss,ES7,Bone
11640390,51001932,684059,2,Bliss,ES7,Bone
11488320,51001932,684059,2,Bliss,ES7,Bone
51001932,24978538,684059,2,Bliss,ES7,Bone
51001932,11707110,684059,1,SA-L,ES7,Bone
51001932,208908,684059,1,SA-L,ES7,Bone
24866313,11707110,684059,0,sub-HSA,ES7,Bone
44224160,46930998,684059,2,Bliss,ES7,Bone
44224160,51001932,684059,1,IDA,ES7,Bone
46926973,11707110,684059,1,IDA,ES7,Bone
46926973,208908,684059,2,Bliss,ES7,Bone
46926973,51001932,684059,2,Bliss,ES7,Bone
84691,11152667,684062,2,Bliss,EW-11,Bone
84691,24856436,684062,1,IDA,EW-11,Bone
148124,24978538,684062,2,Bliss,EW-11,Bone
24978538,11707110,684062,1,IDA,EW-11,Bone
24978538,208908,684062,1,IDA,EW-11,Bone
24978538,51001932,684062,3,Synergy,EW-11,Bone
23725625,11707110,684062,1,SA-L,EW-11,Bone
23725625,51001932,684062,2,Bliss,EW-11,Bone
6450551,24978538,684062,3,Synergy,EW-11,Bone
10184653,24978538,684062,2,Bliss,EW-11,Bone
10184653,11707110,684062,1,SA-L,EW-11,Bone
10184653,51001932,684062,2,Bliss,EW-11,Bone
11433190,24856436,684062,1,IDA,EW-11,Bone
1401,208908,684062,1,SA-L,EW-11,Bone
46930998,11707110,684062,1,SA-L,EW-11,Bone
46930998,208908,684062,1,SA-L,EW-11,Bone
46930998,51001932,684062,2,Bliss,EW-11,Bone
5330286,11707110,684062,0,sub-HSA,EW-11,Bone
5330286,208908,684062,1,SA-L,EW-11,Bone
5330286,51001932,684062,2,Bliss,EW-11,Bone
17755052,24856436,684062,2,Bliss,EW-11,Bone
17755052,11707110,684062,1,SA-L,EW-11,Bone
17755052,208908,684062,0,sub-HSA,EW-11,Bone
3385,11152667,684062,2,Bliss,EW-11,Bone
11626560,208908,684062,1,SA-L,EW-11,Bone
5310940,24978538,684062,2,Bliss,EW-11,Bone
24856436,23725625,684062,2,Bliss,EW-11,Bone
24856436,11152667,684062,2,Bliss,EW-11,Bone
60750,11152667,684062,1,SA-L,EW-11,Bone
60750,24856436,684062,0,sub-HSA,EW-11,Bone
11707110,24978538,684062,2,Bliss,EW-11,Bone
11707110,644241,684062,1,SA-L,EW-11,Bone
11707110,208908,684062,1,SA-L,EW-11,Bone
11707110,51001932,684062,2,Bliss,EW-11,Bone
44462760,208908,684062,1,SA-L,EW-11,Bone
5394,23725625,684062,3,Synergy,EW-11,Bone
5394,24856436,684062,2,Bliss,EW-11,Bone
104842,24978538,684062,2,Bliss,EW-11,Bone
11640390,11707110,684062,1,SA-L,EW-11,Bone
11640390,208908,684062,1,SA-L,EW-11,Bone
11640390,51001932,684062,1,IDA,EW-11,Bone
11488320,51001932,684062,1,SA-A,EW-11,Bone
51001932,24978538,684062,2,Bliss,EW-11,Bone
51001932,11707110,684062,1,SA-L,EW-11,Bone
51001932,208908,684062,1,SA-L,EW-11,Bone
24866313,11707110,684062,1,IDA,EW-11,Bone
44224160,46930998,684062,2,Bliss,EW-11,Bone
44224160,51001932,684062,2,Bliss,EW-11,Bone
46926973,11707110,684062,1,IDA,EW-11,Bone
46926973,208908,684062,1,IDA,EW-11,Bone
46926973,51001932,684062,1,IDA,EW-11,Bone
84691,11152667,684072,2,Bliss,SK-ES-1,Bone
84691,24856436,684072,1,IDA,SK-ES-1,Bone
148124,24978538,684072,2,Bliss,SK-ES-1,Bone
24978538,11707110,684072,1,IDA,SK-ES-1,Bone
24978538,208908,684072,3,Synergy,SK-ES-1,Bone
24978538,51001932,684072,2,Bliss,SK-ES-1,Bone
23725625,11707110,684072,1,SA-L,SK-ES-1,Bone
23725625,51001932,684072,1,IDA,SK-ES-1,Bone
6450551,24978538,684072,2,Bliss,SK-ES-1,Bone
10184653,24978538,684072,2,Bliss,SK-ES-1,Bone
10184653,11707110,684072,0,sub-HSA,SK-ES-1,Bone
10184653,51001932,684072,2,Bliss,SK-ES-1,Bone
11433190,24856436,684072,3,Synergy,SK-ES-1,Bone
1401,208908,684072,2,Bliss,SK-ES-1,Bone
46930998,11707110,684072,1,SA-L,SK-ES-1,Bone
46930998,208908,684072,1,SA-L,SK-ES-1,Bone
46930998,51001932,684072,2,Bliss,SK-ES-1,Bone
5330286,11707110,684072,0,sub-HSA,SK-ES-1,Bone
5330286,208908,684072,1,SA-L,SK-ES-1,Bone
5330286,51001932,684072,1,IDA,SK-ES-1,Bone
17755052,24856436,684072,1,IDA,SK-ES-1,Bone
17755052,11707110,684072,1,SA-L,SK-ES-1,Bone
17755052,208908,684072,1,SA-L,SK-ES-1,Bone
3385,11152667,684072,3,Synergy,SK-ES-1,Bone
11626560,208908,684072,1,SA-L,SK-ES-1,Bone
5310940,24978538,684072,2,Bliss,SK-ES-1,Bone
24856436,23725625,684072,1,SA-L,SK-ES-1,Bone
24856436,11152667,684072,1,SA-L,SK-ES-1,Bone
60750,11152667,684072,1,SA-L,SK-ES-1,Bone
60750,24856436,684072,1,IDA,SK-ES-1,Bone
11707110,24978538,684072,1,IDA,SK-ES-1,Bone
11707110,644241,684072,2,Bliss,SK-ES-1,Bone
11707110,208908,684072,1,SA-L,SK-ES-1,Bone
11707110,51001932,684072,1,IDA,SK-ES-1,Bone
44462760,208908,684072,0,sub-HSA,SK-ES-1,Bone
5394,23725625,684072,3,Synergy,SK-ES-1,Bone
5394,24856436,684072,1,SA-A,SK-ES-1,Bone
104842,24978538,684072,2,Bliss,SK-ES-1,Bone
11640390,11707110,684072,1,SA-L,SK-ES-1,Bone
11640390,208908,684072,1,SA-L,SK-ES-1,Bone
11640390,51001932,684072,1,IDA,SK-ES-1,Bone
11488320,51001932,684072,1,SA-A,SK-ES-1,Bone
51001932,24978538,684072,1,SA-L,SK-ES-1,Bone
51001932,11707110,684072,1,SA-L,SK-ES-1,Bone
51001932,208908,684072,1,SA-L,SK-ES-1,Bone
24866313,11707110,684072,0,sub-HSA,SK-ES-1,Bone
44224160,46930998,684072,2,Bliss,SK-ES-1,Bone
44224160,51001932,684072,1,IDA,SK-ES-1,Bone
46926973,11707110,684072,1,IDA,SK-ES-1,Bone
46926973,208908,684072,2,Bliss,SK-ES-1,Bone
46926973,51001932,684072,1,IDA,SK-ES-1,Bone
84691,11152667,687448,2,Bliss,COLO-829,Skin
84691,24856436,687448,1,IDA,COLO-829,Skin
148124,24978538,687448,1,SA-L,COLO-829,Skin
24978538,11707110,687448,1,SA-A,COLO-829,Skin
24978538,208908,687448,1,IDA,COLO-829,Skin
24978538,51001932,687448,1,IDA,COLO-829,Skin
23725625,11707110,687448,2,Bliss,COLO-829,Skin
23725625,51001932,687448,1,IDA,COLO-829,Skin
6450551,24978538,687448,1,IDA,COLO-829,Skin
10184653,24978538,687448,1,SA-L,COLO-829,Skin
10184653,11707110,687448,2,Bliss,COLO-829,Skin
10184653,51001932,687448,1,SA-L,COLO-829,Skin
11433190,24856436,687448,1,IDA,COLO-829,Skin
1401,208908,687448,1,SA-L,COLO-829,Skin
46930998,11707110,687448,3,Synergy,COLO-829,Skin
46930998,208908,687448,1,SA-L,COLO-829,Skin
46930998,51001932,687448,2,Bliss,COLO-829,Skin
5330286,11707110,687448,1,SA-A,COLO-829,Skin
5330286,208908,687448,1,SA-L,COLO-829,Skin
5330286,51001932,687448,1,SA-L,COLO-829,Skin
17755052,24856436,687448,2,Bliss,COLO-829,Skin
17755052,11707110,687448,3,Synergy,COLO-829,Skin
17755052,208908,687448,1,SA-L,COLO-829,Skin
3385,11152667,687448,2,Bliss,COLO-829,Skin
11626560,208908,687448,1,SA-L,COLO-829,Skin
5310940,24978538,687448,1,IDA,COLO-829,Skin
24856436,23725625,687448,0,sub-HSA,COLO-829,Skin
24856436,11152667,687448,2,Bliss,COLO-829,Skin
60750,11152667,687448,1,SA-L,COLO-829,Skin
60750,24856436,687448,1,SA-L,COLO-829,Skin
11707110,24978538,687448,1,SA-L,COLO-829,Skin
11707110,644241,687448,1,SA-L,COLO-829,Skin
11707110,208908,687448,1,SA-L,COLO-829,Skin
11707110,51001932,687448,3,Synergy,COLO-829,Skin
5394,23725625,687448,1,SA-L,COLO-829,Skin
5394,24856436,687448,2,Bliss,COLO-829,Skin
104842,24978538,687448,1,IDA,COLO-829,Skin
11640390,11707110,687448,2,Bliss,COLO-829,Skin
11640390,208908,687448,1,SA-L,COLO-829,Skin
11640390,51001932,687448,1,IDA,COLO-829,Skin
11488320,51001932,687448,1,IDA,COLO-829,Skin
51001932,24978538,687448,1,SA-L,COLO-829,Skin
51001932,11707110,687448,3,Synergy,COLO-829,Skin
51001932,208908,687448,1,SA-L,COLO-829,Skin
24866313,11707110,687448,1,SA-L,COLO-829,Skin
44224160,46930998,687448,1,SA-L,COLO-829,Skin
44224160,51001932,687448,1,SA-L,COLO-829,Skin
46926973,11707110,687448,1,SA-A,COLO-829,Skin
46926973,208908,687448,1,IDA,COLO-829,Skin
46926973,51001932,687448,1,IDA,COLO-829,Skin
84691,11152667,687452,3,Synergy,5637,Bladder
84691,24856436,687452,3,Synergy,5637,Bladder
148124,24978538,687452,1,SA-L,5637,Bladder
24978538,11707110,687452,2,Bliss,5637,Bladder
24978538,208908,687452,1,IDA,5637,Bladder
24978538,51001932,687452,2,Bliss,5637,Bladder
23725625,11707110,687452,1,IDA,5637,Bladder
23725625,51001932,687452,1,IDA,5637,Bladder
6450551,24978538,687452,2,Bliss,5637,Bladder
10184653,24978538,687452,1,SA-L,5637,Bladder
10184653,11707110,687452,1,SA-L,5637,Bladder
10184653,51001932,687452,3,Synergy,5637,Bladder
11433190,24856436,687452,1,IDA,5637,Bladder
1401,208908,687452,3,Synergy,5637,Bladder
46930998,11707110,687452,2,Bliss,5637,Bladder
46930998,208908,687452,2,Bliss,5637,Bladder
46930998,51001932,687452,2,Bliss,5637,Bladder
5330286,11707110,687452,1,IDA,5637,Bladder
5330286,208908,687452,1,IDA,5637,Bladder
5330286,51001932,687452,1,IDA,5637,Bladder
17755052,24856436,687452,2,Bliss,5637,Bladder
17755052,11707110,687452,2,Bliss,5637,Bladder
17755052,208908,687452,2,Bliss,5637,Bladder
3385,11152667,687452,1,SA-L,5637,Bladder
11626560,208908,687452,2,Bliss,5637,Bladder
5310940,24978538,687452,2,Bliss,5637,Bladder
24856436,23725625,687452,1,SA-L,5637,Bladder
24856436,11152667,687452,1,SA-L,5637,Bladder
60750,11152667,687452,1,SA-L,5637,Bladder
60750,24856436,687452,3,Synergy,5637,Bladder
11707110,24978538,687452,2,Bliss,5637,Bladder
11707110,644241,687452,1,SA-L,5637,Bladder
11707110,208908,687452,1,SA-L,5637,Bladder
11707110,51001932,687452,3,Synergy,5637,Bladder
44462760,208908,687452,1,IDA,5637,Bladder
5394,23725625,687452,2,Bliss,5637,Bladder
5394,24856436,687452,2,Bliss,5637,Bladder
104842,24978538,687452,2,Bliss,5637,Bladder
11640390,11707110,687452,1,IDA,5637,Bladder
11640390,208908,687452,3,Synergy,5637,Bladder
11640390,51001932,687452,2,Bliss,5637,Bladder
11488320,51001932,687452,2,Bliss,5637,Bladder
51001932,24978538,687452,2,Bliss,5637,Bladder
51001932,11707110,687452,3,Synergy,5637,Bladder
51001932,208908,687452,3,Synergy,5637,Bladder
24866313,11707110,687452,1,IDA,5637,Bladder
44224160,46930998,687452,2,Bliss,5637,Bladder
44224160,51001932,687452,2,Bliss,5637,Bladder
46926973,11707110,687452,1,IDA,5637,Bladder
46926973,208908,687452,1,IDA,5637,Bladder
46926973,51001932,687452,1,IDA,5637,Bladder
84691,11152667,687455,1,IDA,RT4,Bladder
84691,24856436,687455,2,Bliss,RT4,Bladder
148124,24978538,687455,3,Synergy,RT4,Bladder
24978538,11707110,687455,2,Bliss,RT4,Bladder
24978538,208908,687455,2,Bliss,RT4,Bladder
24978538,51001932,687455,1,IDA,RT4,Bladder
23725625,11707110,687455,1,IDA,RT4,Bladder
23725625,51001932,687455,1,IDA,RT4,Bladder
6450551,24978538,687455,1,SA-L,RT4,Bladder
10184653,24978538,687455,3,Synergy,RT4,Bladder
10184653,11707110,687455,2,Bliss,RT4,Bladder
10184653,51001932,687455,1,SA-L,RT4,Bladder
11433190,24856436,687455,1,IDA,RT4,Bladder
1401,208908,687455,2,Bliss,RT4,Bladder
46930998,11707110,687455,2,Bliss,RT4,Bladder
46930998,208908,687455,2,Bliss,RT4,Bladder
46930998,51001932,687455,1,IDA,RT4,Bladder
5330286,11707110,687455,2,Bliss,RT4,Bladder
5330286,208908,687455,1,IDA,RT4,Bladder
5330286,51001932,687455,1,IDA,RT4,Bladder
17755052,24856436,687455,2,Bliss,RT4,Bladder
17755052,11707110,687455,2,Bliss,RT4,Bladder
17755052,208908,687455,1,SA-L,RT4,Bladder
3385,11152667,687455,1,SA-L,RT4,Bladder
11626560,208908,687455,2,Bliss,RT4,Bladder
5310940,24978538,687455,3,Synergy,RT4,Bladder
24856436,23725625,687455,1,SA-L,RT4,Bladder
24856436,11152667,687455,1,SA-L,RT4,Bladder
11707110,24978538,687455,1,SA-L,RT4,Bladder
11707110,644241,687455,2,Bliss,RT4,Bladder
11707110,208908,687455,1,SA-L,RT4,Bladder
11707110,51001932,687455,1,SA-L,RT4,Bladder
44462760,208908,687455,2,Bliss,RT4,Bladder
5394,23725625,687455,1,IDA,RT4,Bladder
5394,24856436,687455,1,SA-A,RT4,Bladder
104842,24978538,687455,2,Bliss,RT4,Bladder
11640390,11707110,687455,2,Bliss,RT4,Bladder
11640390,208908,687455,2,Bliss,RT4,Bladder
11640390,51001932,687455,1,IDA,RT4,Bladder
11488320,51001932,687455,1,IDA,RT4,Bladder
51001932,24978538,687455,1,IDA,RT4,Bladder
51001932,11707110,687455,2,Bliss,RT4,Bladder
51001932,208908,687455,2,Bliss,RT4,Bladder
24866313,11707110,687455,1,IDA,RT4,Bladder
44224160,46930998,687455,2,Bliss,RT4,Bladder
44224160,51001932,687455,1,IDA,RT4,Bladder
46926973,11707110,687455,2,Bliss,RT4,Bladder
46926973,208908,687455,1,IDA,RT4,Bladder
46926973,51001932,687455,1,IDA,RT4,Bladder
84691,11152667,687457,1,IDA,SW780,Bladder
84691,24856436,687457,2,Bliss,SW780,Bladder
148124,24978538,687457,3,Synergy,SW780,Bladder
24978538,11707110,687457,2,Bliss,SW780,Bladder
24978538,208908,687457,1,IDA,SW780,Bladder
24978538,51001932,687457,1,IDA,SW780,Bladder
23725625,11707110,687457,2,Bliss,SW780,Bladder
23725625,51001932,687457,1,IDA,SW780,Bladder
6450551,24978538,687457,3,Synergy,SW780,Bladder
10184653,24978538,687457,2,Bliss,SW780,Bladder
10184653,11707110,687457,2,Bliss,SW780,Bladder
10184653,51001932,687457,1,SA-L,SW780,Bladder
11433190,24856436,687457,1,IDA,SW780,Bladder
1401,208908,687457,1,SA-L,SW780,Bladder
46930998,11707110,687457,2,Bliss,SW780,Bladder
46930998,208908,687457,1,SA-L,SW780,Bladder
46930998,51001932,687457,1,IDA,SW780,Bladder
5330286,11707110,687457,1,IDA,SW780,Bladder
5330286,208908,687457,1,IDA,SW780,Bladder
5330286,51001932,687457,2,Bliss,SW780,Bladder
17755052,24856436,687457,2,Bliss,SW780,Bladder
17755052,11707110,687457,3,Synergy,SW780,Bladder
17755052,208908,687457,1,SA-L,SW780,Bladder
3385,11152667,687457,1,SA-L,SW780,Bladder
11626560,208908,687457,2,Bliss,SW780,Bladder
5310940,24978538,687457,2,Bliss,SW780,Bladder
24856436,23725625,687457,1,SA-L,SW780,Bladder
24856436,11152667,687457,1,SA-L,SW780,Bladder
60750,11152667,687457,1,SA-L,SW780,Bladder
60750,24856436,687457,1,IDA,SW780,Bladder
11707110,24978538,687457,2,Bliss,SW780,Bladder
11707110,644241,687457,1,SA-L,SW780,Bladder
11707110,208908,687457,1,SA-L,SW780,Bladder
11707110,51001932,687457,1,SA-L,SW780,Bladder
44462760,208908,687457,1,IDA,SW780,Bladder
5394,23725625,687457,2,Bliss,SW780,Bladder
5394,24856436,687457,1,SA-A,SW780,Bladder
104842,24978538,687457,3,Synergy,SW780,Bladder
11640390,11707110,687457,2,Bliss,SW780,Bladder
11640390,208908,687457,1,IDA,SW780,Bladder
11640390,51001932,687457,1,IDA,SW780,Bladder
11488320,51001932,687457,1,IDA,SW780,Bladder
51001932,24978538,687457,1,IDA,SW780,Bladder
51001932,11707110,687457,2,Bliss,SW780,Bladder
51001932,208908,687457,1,SA-L,SW780,Bladder
24866313,11707110,687457,1,IDA,SW780,Bladder
44224160,46930998,687457,1,SA-L,SW780,Bladder
44224160,51001932,687457,2,Bliss,SW780,Bladder
46926973,11707110,687457,2,Bliss,SW780,Bladder
46926973,208908,687457,1,IDA,SW780,Bladder
46926973,51001932,687457,1,IDA,SW780,Bladder
84691,11152667,687459,3,Synergy,TCCSUP,Bladder
84691,24856436,687459,2,Bliss,TCCSUP,Bladder
148124,24978538,687459,3,Synergy,TCCSUP,Bladder
24978538,11707110,687459,1,IDA,TCCSUP,Bladder
24978538,208908,687459,1,IDA,TCCSUP,Bladder
24978538,51001932,687459,2,Bliss,TCCSUP,Bladder
23725625,11707110,687459,1,IDA,TCCSUP,Bladder
23725625,51001932,687459,2,Bliss,TCCSUP,Bladder
6450551,24978538,687459,3,Synergy,TCCSUP,Bladder
10184653,24978538,687459,2,Bliss,TCCSUP,Bladder
10184653,11707110,687459,1,SA-L,TCCSUP,Bladder
10184653,51001932,687459,2,Bliss,TCCSUP,Bladder
11433190,24856436,687459,1,IDA,TCCSUP,Bladder
